                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5817,                 3.6175,                 1.2321,                0.03236,                0.94677,                0.22498,                0.15052,                 1.0466,                 3.4828,                0.89632,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.3483,                 2.0009,                 1.0836,                0.58865,                  0.229,                0.50315,                0.35378,                 1.0394,                 2.7554,                0.96241,             0.00037152,             0.00037152,             0.00037152
                      3,                 1.2416,                 1.5172,                 1.0522,                0.71809,                0.64345,                0.68569,                0.45549,                  1.177,                 1.7606,                0.96368,             0.00053668,             0.00053668,             0.00053668
                      4,                 1.1655,                 1.2596,                 1.0208,                 0.7477,                0.80736,                0.85347,                0.62772,                0.97042,                 1.1138,                 0.9337,             0.00051815,             0.00051815,             0.00051815
                      5,                 1.1659,                 1.1611,                 1.0236,                0.87024,                0.87487,                0.95605,                0.67216,                  1.041,                0.94363,                0.95829,             0.00049486,             0.00049486,             0.00049486
                      6,                 1.1075,                 1.0424,                  1.005,                 0.8997,                0.91349,                 0.9638,                0.71948,                0.92915,                0.85802,                0.92832,             0.00047158,             0.00047158,             0.00047158
                      7,                 1.1229,                0.95912,                 1.0015,                0.94649,                0.94136,                 0.9753,                0.73738,                0.89422,                0.72046,                0.91746,             0.00044829,             0.00044829,             0.00044829
                      8,                 1.0615,                0.87083,                0.98658,                0.94335,                0.96279,                0.97919,                0.75711,                0.84833,                 0.6839,                0.91448,             0.00042501,             0.00042501,             0.00042501
                      9,                 1.0355,                0.83096,                0.98415,                0.96766,                0.97675,                0.98361,                0.76823,                 0.8424,                0.66345,                0.90848,             0.00040172,             0.00040172,             0.00040172
                     10,                 1.0342,                0.80108,                0.98003,                0.98181,                0.97582,                0.98733,                0.74798,                0.92559,                0.62177,                0.92388,             0.00037844,             0.00037844,             0.00037844
                     11,                 1.0403,                0.79181,                0.98168,                0.97353,                0.96351,                0.98506,                0.72595,                0.98321,                0.63548,                0.96055,             0.00035515,             0.00035515,             0.00035515
                     12,                 1.0151,                0.75634,                0.97594,                0.96815,                0.98259,                0.98746,                0.78044,                0.83596,                0.60502,                0.90525,             0.00033187,             0.00033187,             0.00033187
                     13,                0.98766,                0.75297,                0.96778,                0.97739,                0.98513,                0.98792,                 0.7854,                0.81323,                0.58048,                0.90462,             0.00030858,             0.00030858,             0.00030858
                     14,                0.96713,                0.72285,                0.96144,                 0.9701,                0.99063,                0.98806,                0.77996,                0.82503,                0.55862,                0.90259,              0.0002853,              0.0002853,              0.0002853
                     15,                0.95675,                0.69783,                0.95686,                0.97988,                0.98684,                 0.9872,                0.77494,                0.83929,                0.54559,                0.90578,             0.00026201,             0.00026201,             0.00026201
                     16,                0.93455,                0.68025,                0.97034,                0.96786,                0.98794,                0.98949,                0.78713,                0.79175,                0.56143,                0.89884,             0.00023873,             0.00023873,             0.00023873
                     17,                 0.9263,                0.66176,                0.97574,                0.97058,                0.97705,                0.98745,                0.77036,                0.86963,                0.55874,                0.90742,             0.00021544,             0.00021544,             0.00021544
                     18,                0.91058,                0.64465,                 0.9641,                0.97206,                0.98416,                0.98745,                0.78289,                0.82293,                0.52848,                0.89777,             0.00019216,             0.00019216,             0.00019216
                     19,                0.88819,                  0.641,                 0.9723,                0.97613,                0.98901,                0.98975,                0.77632,                0.83831,                0.52404,                0.90503,             0.00016887,             0.00016887,             0.00016887
                     20,                 0.8816,                0.63009,                0.95878,                  0.971,                0.98961,                0.98937,                0.79298,                0.79265,                 0.5011,                0.90204,             0.00014559,             0.00014559,             0.00014559
                     21,                 0.8746,                0.61291,                0.96202,                0.97824,                0.98407,                0.98906,                0.78428,                0.81647,                0.49561,                0.90184,              0.0001223,              0.0001223,              0.0001223
                     22,                 0.8694,                0.60454,                0.95285,                0.97065,                0.98952,                0.98944,                0.78126,                 0.8182,                0.49158,                0.89722,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     23,                0.84475,                0.58482,                0.94245,                 0.9781,                0.99133,                0.98795,                0.79446,                0.76966,                0.48198,                0.88822,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     24,                0.85431,                0.57932,                0.94821,                0.97848,                0.99235,                0.98696,                 0.7968,                0.77918,                 0.4751,                 0.8928,              5.245e-05,              5.245e-05,              5.245e-05
                     25,                0.84426,                0.58699,                0.95103,                0.97446,                0.99134,                 0.9871,                0.78849,                0.78441,                0.47582,                0.89389,             2.9165e-05,             2.9165e-05,             2.9165e-05
