                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1686,                 1.1498,                  0.945,                0.90619,                0.84828,                0.94901,                 0.7315,                0.88073,                0.83132,                0.88551,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.1263,                0.94585,                0.93612,                 0.9258,                0.90325,                 0.9619,                0.73384,                0.89636,                0.77313,                0.88596,             0.00034854,             0.00034854,             0.00034854
                      3,                 1.0958,                0.86975,                 0.9386,                0.91088,                0.92694,                0.94627,                 0.6908,                0.94313,                0.81438,                0.88872,             0.00046744,             0.00046744,             0.00046744
                      4,                 1.0589,                0.82226,                0.92824,                0.95924,                0.95304,                0.97296,                0.74293,                0.89193,                0.67746,                0.88105,             0.00041336,             0.00041336,             0.00041336
                      5,                 1.0344,                0.79162,                0.91341,                0.94176,                0.95127,                0.97487,                 0.7527,                0.88715,                0.64609,                0.88674,             0.00035515,             0.00035515,             0.00035515
                      6,                0.99956,                0.74158,                0.91695,                0.95443,                0.91962,                0.96234,                0.69731,                0.94684,                0.63341,                0.88451,             0.00029694,             0.00029694,             0.00029694
                      7,                0.98991,                0.72034,                0.91016,                0.95493,                0.96253,                0.97735,                0.76208,                0.84786,                0.60371,                0.87458,             0.00023873,             0.00023873,             0.00023873
                      8,                0.95516,                0.67879,                0.90178,                0.97003,                0.96646,                 0.9827,                0.76614,                0.84738,                0.56938,                0.87289,             0.00018052,             0.00018052,             0.00018052
                      9,                 0.9552,                 0.6609,                0.90658,                0.96958,                0.97594,                0.98426,                0.77862,                0.80594,                0.52312,                0.86936,              0.0001223,              0.0001223,              0.0001223
                     10,                0.93954,                0.66362,                0.89295,                0.97684,                0.95792,                0.98333,                0.77458,                0.81958,                0.55509,                0.86794,             6.4092e-05,             6.4092e-05,             6.4092e-05
